"corpus","AranRusi_x"
"subcorpus","-"
"concordance size","702"
"query","Query:[word=""до""];Positive filter:-5 5 -1 [lc=""ц.*"" | lemma_lc=""ц.*""];Positive filter:0 1 -1 [lc=""ц.*"" | lemma_lc=""ц.*""]"
"центра",200,""
"цели",93,""
"целого",42,""
"цветения",36,""
"целых",20,""
"центрального",17,""
"церкви",13,""
"центромеры",12,""
"центральной",12,""
"цвета",11,""
"цивилизации",10,""
"целевой",10,""
"царя",10,""
"Центральной",9,""
"целей",8,""
"цифры",7,""
"церемонии",7,""
"целой",7,""
"центральных",6,""
"целевого",5,""
"Центрального",5,""
"ЦМТ",5,""
"цугундера",4,""
"центров",4,""
"цен",4,""
"целевых",4,""
"Центра",4,""
"цифровой",3,""
"цирка",3,""
"цилиндров",3,""
"церковной",3,""
"цента",3,""
"цветов",3,""
"цветного",3,""
"царствования",3,""
"цього",2,""
"цыплят",2,""
"цоколя",2,""
"цифр",2,""
"цинизма",2,""
"цеха",2,""
"цепей",2,""
"цензуры",2,""
"цветочных",2,""
"цветных",2,""
"царских",2,""
"Царьграда",2,""
"Царицына",2,""
"църквата",1,""
"църква",1,""
"цстмра",1,""
"цих",1,""
"цифровых",1,""
"цитаты",1,""
"цитат",1,""
"цитадели",1,""
"цирковой",1,""
"цинкового",1,""
"цинка",1,""
"циклопических",1,""
"циклов",1,""
"циклевки",1,""
"цикла",1,""
"цивилизованной",1,""
"цивилизованного",1,""
"цивилизационного",1,""
"цивилизаций",1,""
"церковного",1,""
"цепных",1,""
"цепи",1,""
"цепа",1,""
"центрфорварда",1,""
"центром",1,""
"центровых",1,""
"централизованного",1,""
"централизации",1,""
"ценных",1,""
"ценностного",1,""
"ценностно-геополитических",1,""
"ценности",1,""
"ценного",1,""
"ценить",1,""
"ценителей",1,""
"цельного",1,""
"целующейся",1,""
"целостной",1,""
"целования",1,""
"целика",1,""
"целесообразного",1,""
"цветочного",1,""
"цветочка",1,""
"цветотерапии",1,""
"цветосхем",1,""
"цветности",1,""
"цветника",1,""
"цветмета",1,""
"цветистых",1,""
"царского",1,""
"царицы",1,""
"царевны",1,""
"Цюрупинска",1,""
"Цюриха",1,""
"Цхинвала",1,""
"Цусимы",1,""
"Цугундера",1,""
"Циолковского",1,""
"Цин-тхан",1,""
"Циммермановки",1,""
"Цимлы",1,""
"Цидкияу",1,""
"Церматта",1,""
"Церкви",1,""
"Центросоюза",1,""
"Центробанка",1,""
"Централния",1,""
"Целей",1,""
"Цезарей",1,""
"Цветного",1,""
"Царствия",1,""
"Царства",1,""
"Царского",1,""
"Царицыно",1,""
"Цариград",1,""
"Царево",1,""
"Цагеры",1,""
"ЦУСа",1,""
"ЦУКС",1,""
"ЦТ",1,""
"ЦСКА",1,""
"ЦОДа",1,""
"ЦК",1,""
"ЦИКа",1,""
"ЦАПа",1,""
"ЦАП",1,""
"ЦАО",1,""
